"id","jmeno","narozen"
"1","Juhani LORENC","1927-01-22"
"2","Ethan UHER","1955-05-27"
"3","Christian RUDOLF","1971-10-28"
"4","Zdenek LAVICKA","2000-05-16"
"5","Luke KALOUS","1939-07-18"
"6","Daniel SVEHLA","2008-10-21"
"7","Matias KASPAREK","1937-06-10"
"8","Jiri SMEJKAL","1984-02-18"
"9","Elias HAMPL","2005-04-08"
"10","Kristian ONDRA","1979-11-14"
"11","Emil MIKULASEK","1982-04-27"
"12","Daniel TRAN","1931-11-12"
"13","Jiri ZIDEK","1982-03-07"
"14","Rasmus NEJEDLY","1935-08-12"
"15","Aaron KROPACEK","2002-05-16"
"16","Jiri DANIEL","1993-07-01"
"17","Daniel VECERA","2004-02-17"
"18","Anthony WOLF","1995-03-06"
"19","Mathias VONDRAK","1944-01-08"
"20","Anthony HORNIK","1972-04-10"
"21","Matias SKRABAL","1936-10-20"
"22","Luke JANSA","1933-05-19"
"23","Jack PAPEZ","1967-04-14"
"24","Mathew ZAPLETAL","1950-01-26"
"25","Zdenek STREJCEK","1999-11-27"
"26","Frantisek MATUSKA","1935-02-03"
"27","Zdenek SEVERA","1956-04-30"
"28","Emil CADA","1978-07-28"
"29","Matias MRAZEK","1990-07-25"
"30","Sean KOVAC","1949-10-08"
"31","Michael VONDRACEK","1989-02-17"
"32","Christian SVOZIL","1936-08-09"
"33","Andrew SALEK","1995-04-26"
"34","Juhani LISKA","1944-09-06"
"35","Christopher BUCEK","1967-05-28"
"36","Mathew CAP","1968-12-18"
"37","Kristian BOHACEK","1955-02-25"
"38","Mikael VITASEK","1964-01-26"
"39","Frantisek MARECEK","1925-09-01"
"40","Miroslav MATOUS","2006-02-02"
"41","Cian VRANA","1964-08-12"
"42","Christopher KOVAC","1949-05-24"
"43","Adam KOTAS","1979-10-31"
"44","Rasmus RAC","1963-10-09"
"45","Kristian SEDIVY","1960-10-13"
"46","Jaroslav MALEK","1955-12-17"
"47","Lucas KLOUDA","1980-09-13"
"48","Zdenek VANECEK","1953-09-01"
"49","Aleksi KOPRIVA","1951-01-19"
"50","Christian KOTEK","1939-10-09"
"51","Lucas KOMAREK","1964-06-29"
"52","Jan BERANEK","1963-12-16"
"53","Rasmus PRIBYL","1959-08-20"
"54","Mads JINDRA","1956-09-24"
"55","Mathew SOBEK","1993-03-30"
"56","Lucas MOTL","1927-05-15"
"57","Jaroslav PAVLAS","1973-06-14"
"58","Jaroslav HOVORKA","1972-10-31"
"59","Matias HEGER","1996-12-29"
"60","Petr MLADEK","2000-05-18"
"61","Joshua PERNICA","1945-06-09"
"62","Juhani LANGR","1938-10-07"
"63","William GAZI","1944-10-28"
"64","Mathew JANSKY","1930-11-30"
"65","Frantisek DOUBEK","1953-04-27"
"66","Jacob VRANA","1934-09-20"
"67","Emil VANECEK","1935-05-29"
"68","Olavi HAVRANEK","1937-02-06"
"69","Anthony MRAZ","1974-05-18"
"70","Jan HRDY","1948-05-29"
"71","Elias HRADECKY","1937-09-18"
"72","Olavi KLEMENT","1971-02-25"
"73","Pavel REMES","1949-08-01"
"74","Michael OLAH","1961-10-21"
