"id","name","born"
"1","John LORENC","1927-01-22"
"2","Ethan UHER","1955-05-27"
"3","Christian RUDOLF","1971-10-28"
"4","Dennis LAVICKA","2000-05-16"
"5","Luke KALOUS","1939-07-18"
"6","Daniel SVEHLA","2008-10-21"
"7","Matthew KASPAREK","1937-06-10"
"8","George SMEJKAL","1984-02-18"
"9","Elias HAMPL","2005-04-08"
"10","Christian ONDRA","1979-11-14"
"11","Emil MIKULASEK","1982-04-27"
"12","Daniel TRAN","1931-11-12"
"13","George ZIDEK","1982-03-07"
"14","Russell NEJEDLY","1935-08-12"
"15","Aaron KROPACEK","2002-05-16"
"16","George DANIEL","1993-07-01"
"17","Daniel VECERA","2004-02-17"
"18","Anthony WOLF","1995-03-06"
"19","Matthew VONDRAK","1944-01-08"
"20","Anthony HORNIK","1972-04-10"
"21","Matthew SKRABAL","1936-10-20"
"22","Luke JANSA","1933-05-19"
"23","Jack PAPEZ","1967-04-14"
"24","Matthew ZAPLETAL","1950-01-26"
"25","Dennis STREJCEK","1999-11-27"
"26","Francis MATUSKA","1935-02-03"
"27","Dennis SEVERA","1956-04-30"
"28","Emil CADA","1978-07-28"
"29","Matthew MRAZEK","1990-07-25"
"30","Sean KOVAC","1949-10-08"
"31","Michael VONDRACEK","1989-02-17"
"32","Christian SVOZIL","1936-08-09"
"33","Andrew SALEK","1995-04-26"
"34","John LISKA","1944-09-06"
"35","Christopher BUCEK","1967-05-28"
"36","Matthew CAP","1968-12-18"
"37","Christian BOHACEK","1955-02-25"
"38","Michael VITASEK","1964-01-26"
"39","Francis MARECEK","1925-09-01"
"40","Miles MATOUS","2006-02-02"
"41","Cian VRANA","1964-08-12"
"42","Christopher KOVAC","1949-05-24"
"43","Adam KOTAS","1979-10-31"
"44","Russell RAC","1963-10-09"
"45","Christian SEDIVY","1960-10-13"
"46","Gerald MALEK","1955-12-17"
"47","Lucas KLOUDA","1980-09-13"
"48","Dennis VANECEK","1953-09-01"
"49","Alex KOPRIVA","1951-01-19"
"50","Christian KOTEK","1939-10-09"
"51","Lucas KOMAREK","1964-06-29"
"52","John BERANEK","1963-12-16"
"53","Russell PRIBYL","1959-08-20"
"54","Marcus JINDRA","1956-09-24"
"55","Matthew SOBEK","1993-03-30"
"56","Lucas MOTL","1927-05-15"
"57","Gerald PAVLAS","1973-06-14"
"58","Gerald HOVORKA","1972-10-31"
"59","Matthew HEGER","1996-12-29"
"60","Peter MLADEK","2000-05-18"
"61","Joshua PERNICA","1945-06-09"
"62","John LANGR","1938-10-07"
"63","William GAZI","1944-10-28"
"64","Matthew JANSKY","1930-11-30"
"65","Francis DOUBEK","1953-04-27"
"66","Jacob VRANA","1934-09-20"
"67","Emil VANECEK","1935-05-29"
"68","Oliver HAVRANEK","1937-02-06"
"69","Anthony MRAZ","1974-05-18"
"70","John HRDY","1948-05-29"
"71","Elias HRADECKY","1937-09-18"
"72","Oliver KLEMENT","1971-02-25"
"73","Paul REMES","1949-08-01"
"74","Michael OLAH","1961-10-21"
"75","John SKACEL","1950-02-27"
"76","Andrew VACLAVEK","1973-08-03"
"77","Paul LUKES","1993-02-17"
"78","Daniel JILEK","1966-11-19"
"79","Joseph HLAVKA","2008-05-10"
"80","Russell STUPKA","1962-10-28"
"81","Adam CHUDOBA","1929-01-10"
"82","Lucas ADAMEC","1961-11-15"
"83","Matthew TRAN","1941-08-08"
"84","Matthew GRUBER","2006-02-22"
"85","Martin ERBEN","1926-05-15"
"86","Oscar CHMELAR","1979-05-04"
"87","Walter HOREJSI","1959-09-05"
"88","Lucas MATYS","2003-04-08"
"89","Cian KUNC","1959-05-06"
"90","Michael PECKA","1947-09-14"
"91","John MATYAS","1925-11-05"
"92","John KUCERA","1951-09-05"
"93","William VLCEK","1965-11-21"
"94","John LATAL","2009-07-31"
"95","Michael FRANK","1958-07-04"
"96","Alex HLAVKA","1930-01-11"
"97","Michael LUKAC","1958-04-01"
"98","Conor HRUBY","2000-04-19"
"99","William HEJDUK","1948-11-20"
"100","Oliver KAREL","2010-07-01"
"101","Russell PETRAS","1945-02-12"
"102","Walter JAKOUBEK","1962-09-30"
"103","Jack LANGR","1968-02-01"
"104","Russell SOMMER","1963-06-29"
"105","Ethan ZAPLETAL","1960-09-02"
"106","Marcus JECH","1935-06-11"
"107","Christopher CERVENY","1947-03-02"
"108","Joseph KOURIL","1980-04-20"
"109","Daniel MAXA","1928-10-23"
"110","Lucas KOUDELKA","1952-10-31"
"111","Elias SPACEK","1934-10-04"
"112","John HOLY","1973-05-01"
"113","Joseph SIMECEK","1933-04-06"
"114","Martin POUR","1940-08-01"
"115","Marcus SIMA","1980-07-15"
"116","Oliver MACH","2003-04-20"
"117","Alex SYNEK","1935-03-24"
"118","Francis STEHLIK","1964-07-13"
"119","Matthew CHYTIL","1932-12-15"
"120","Christian POLIVKA","1987-07-25"
"121","Aaron CAPEK","1940-03-18"
